Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0007220	GO:0007220	Notch receptor processing	2.473e-07	0.000e+00	5.614e+00	2.430e-06
GO:0007512	GO:0007512	adult heart development	3.158e-07	0.000e+00	5.493e+00	3.216e-06
GO:0007512	GO:0051216	cartilage development	1.408e-02	0.000e+00	4.386e+00	4.111e-05
GO:0007512	GO:0030903	notochord development	2.719e-04	0.000e+00	5.072e+00	8.480e-06
GO:0007512	GO:0048566	embryonic digestive tract development	8.769e-03	0.000e+00	5.357e+00	4.394e-06
GO:0007512	GO:0001892	embryonic placenta development	1.498e-03	0.000e+00	5.511e+00	3.082e-06
GO:0007512	GO:0043583	ear development	5.592e-03	0.000e+00	5.526e+00	2.979e-06
GO:0021536	GO:0021536	diencephalon development	3.168e-07	0.000e+00	5.761e+00	1.736e-06
GO:0044532	GO:0044532	modulation of apoptotic process in another organism	3.240e-07	0.000e+00	7.464e+00	3.433e-08
GO:0044532	GO:0051709	regulation of killing of cells of another organism	2.192e-04	0.000e+00	4.166e+00	6.830e-05
GO:0044532	GO:0052150	modulation by symbiont of host apoptotic process	3.240e-07	0.000e+00	4.196e+00	6.368e-05
GO:0044532	GO:0031341	regulation of cell killing	5.641e-06	0.000e+00	4.076e+00	8.403e-05
GO:0044532	GO:0052040	modulation by symbiont of host programmed cell death	1.788e-06	0.000e+00	3.140e+00	7.249e-04
GO:0033292	GO:0033292	T-tubule organization	3.523e-07	0.000e+00	5.620e+00	2.399e-06
GO:0033292	GO:0044803	multi-organism membrane organization	1.095e-02	0.000e+00	2.385e+00	4.124e-03
GO:0033292	GO:0019064	fusion of virus membrane with host plasma membrane	1.793e-05	0.000e+00	2.999e+00	1.002e-03
GO:0033292	GO:0039663	membrane fusion involved in viral entry into host cell	1.793e-05	0.000e+00	2.385e+00	4.123e-03
GO:0033292	GO:0001778	plasma membrane repair	6.170e-03	0.000e+00	5.429e+00	3.727e-06
GO:0046222	GO:0046222	aflatoxin metabolic process	3.666e-07	0.000e+00	5.404e+00	3.944e-06
GO:0046222	GO:1901376	organic heteropentacyclic compound metabolic process	3.666e-07	0.000e+00	5.371e+00	4.253e-06
GO:0046222	GO:0043385	mycotoxin metabolic process	3.666e-07	0.000e+00	4.383e+00	4.145e-05
GO:0046222	GO:0009404	toxin metabolic process	2.849e-07	0.000e+00	3.680e+00	2.090e-04
GO:0046222	GO:0019748	secondary metabolic process	2.273e-07	0.000e+00	3.142e+00	7.209e-04
GO:0046222	GO:0044550	secondary metabolite biosynthetic process	1.122e-03	0.000e+00	3.337e+00	4.606e-04
GO:0046222	GO:0030638	polyketide metabolic process	4.272e-05	0.000e+00	3.639e+00	2.294e-04
GO:0046222	GO:0044597	daunorubicin metabolic process	7.420e-05	0.000e+00	5.909e+00	1.232e-06
GO:0046222	GO:0030647	aminoglycoside antibiotic metabolic process	7.420e-05	0.000e+00	5.831e+00	1.476e-06
GO:0046222	GO:0044598	doxorubicin metabolic process	4.272e-05	0.000e+00	5.930e+00	1.175e-06
GO:0046222	GO:0016137	glycoside metabolic process	6.244e-04	0.000e+00	3.794e+00	1.608e-04
GO:0001991	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	3.703e-07	0.000e+00	6.839e+00	1.450e-07
GO:0001991	GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	2.367e-06	0.000e+00	5.450e+00	3.551e-06
GO:0001991	GO:0050886	endocrine process	5.968e-04	0.000e+00	5.210e+00	6.161e-06
GO:0001991	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	2.078e-05	0.000e+00	5.183e+00	6.561e-06
GO:0001991	GO:0001990	regulation of systemic arterial blood pressure by hormone	1.161e-04	0.000e+00	5.211e+00	6.153e-06
GO:0001991	GO:0003073	regulation of systemic arterial blood pressure	1.977e-04	0.000e+00	5.015e+00	9.658e-06
GO:0001991	GO:0008217	regulation of blood pressure	1.029e-03	0.000e+00	4.327e+00	4.715e-05
GO:0046940	GO:0046940	nucleoside monophosphate phosphorylation	4.652e-07	0.000e+00	2.755e+00	1.758e-03
GO:0046940	GO:0009173	pyrimidine ribonucleoside monophosphate metabolic process	6.068e-03	0.000e+00	2.859e+00	1.383e-03
GO:0046940	GO:0006221	pyrimidine nucleotide biosynthetic process	1.019e-02	0.000e+00	2.174e+00	6.697e-03
GO:0046940	GO:0046049	UMP metabolic process	6.068e-03	0.000e+00	2.862e+00	1.375e-03
GO:0046940	GO:0009218	pyrimidine ribonucleotide metabolic process	1.236e-02	0.000e+00	2.622e+00	2.387e-03
GO:0032730	GO:0032730	positive regulation of interleukin-1 alpha production	4.805e-07	0.000e+00	6.086e+00	8.201e-07
GO:0032730	GO:0032650	regulation of interleukin-1 alpha production	2.130e-04	0.000e+00	5.984e+00	1.038e-06
GO:0032730	GO:0032652	regulation of interleukin-1 production	1.139e-05	0.000e+00	4.613e+00	2.435e-05
GO:0032730	GO:0032732	positive regulation of interleukin-1 production	1.102e-04	0.000e+00	4.754e+00	1.762e-05
GO:0032730	GO:0032667	regulation of interleukin-23 production	3.535e-03	0.000e+00	5.786e+00	1.636e-06
GO:0032730	GO:0032673	regulation of interleukin-4 production	1.398e-02	0.000e+00	5.249e+00	5.634e-06
GO:0001783	GO:0001783	B cell apoptotic process	5.434e-07	0.000e+00	5.722e+00	1.896e-06
GO:0001783	GO:0070227	lymphocyte apoptotic process	9.453e-05	0.000e+00	5.327e+00	4.715e-06
GO:0001783	GO:0071887	leukocyte apoptotic process	7.980e-05	0.000e+00	5.283e+00	5.207e-06
GO:0001783	GO:0070231	T cell apoptotic process	1.479e-02	0.000e+00	5.553e+00	2.796e-06
GO:0001783	GO:0097048	dendritic cell apoptotic process	3.343e-03	0.000e+00	8.419e+00	3.815e-09
GO:0001783	GO:0060561	apoptotic process involved in morphogenesis	4.416e-03	0.000e+00	5.330e+00	4.677e-06
GO:0001783	GO:0070242	thymocyte apoptotic process	5.362e-03	0.000e+00	6.049e+00	8.926e-07
GO:0001783	GO:0048102	autophagic cell death	5.845e-03	0.000e+00	5.788e+00	1.629e-06
GO:0001783	GO:0072577	endothelial cell apoptotic process	1.123e-02	0.000e+00	6.040e+00	9.117e-07
GO:0001783	GO:0070268	cornification	1.706e-02	0.000e+00	5.857e+00	1.389e-06
GO:0032687	GO:0032687	negative regulation of interferon-alpha production	5.926e-07	0.000e+00	6.168e+00	6.790e-07
GO:0032687	GO:0032647	regulation of interferon-alpha production	1.175e-04	0.000e+00	5.280e+00	5.249e-06
GO:0032687	GO:0032727	positive regulation of interferon-alpha production	1.775e-03	0.000e+00	5.340e+00	4.570e-06
GO:0032687	GO:0032480	negative regulation of type I interferon production	1.741e-04	0.000e+00	5.145e+00	7.168e-06
GO:0032687	GO:0032479	regulation of type I interferon production	1.363e-02	0.000e+00	4.570e+00	2.693e-05
GO:0032687	GO:0032728	positive regulation of interferon-beta production	1.701e-04	0.000e+00	5.160e+00	6.920e-06
GO:0032687	GO:0032648	regulation of interferon-beta production	1.513e-03	0.000e+00	5.020e+00	9.555e-06
GO:0006833	GO:0006833	water transport	5.968e-07	0.000e+00	4.502e+00	3.146e-05
GO:0006833	GO:0042044	fluid transport	7.195e-06	0.000e+00	4.473e+00	3.361e-05
GO:0006833	GO:0042045	epithelial fluid transport	5.088e-03	0.000e+00	5.746e+00	1.797e-06
GO:0042416	GO:0042416	dopamine biosynthetic process	6.379e-07	0.000e+00	5.377e+00	4.196e-06
GO:0042416	GO:0042417	dopamine metabolic process	1.788e-05	0.000e+00	5.103e+00	7.896e-06
GO:0042416	GO:0042423	catecholamine biosynthetic process	9.229e-07	0.000e+00	4.826e+00	1.491e-05
GO:0042416	GO:0006584	catecholamine metabolic process	4.730e-03	0.000e+00	4.625e+00	2.369e-05
GO:0042416	GO:0042420	dopamine catabolic process	3.667e-06	0.000e+00	5.834e+00	1.465e-06
GO:0042416	GO:0042424	catecholamine catabolic process	3.667e-06	0.000e+00	5.656e+00	2.209e-06
GO:0042133	GO:0042133	neurotransmitter metabolic process	6.561e-07	0.000e+00	4.696e+00	2.016e-05
GO:0042133	GO:0042135	neurotransmitter catabolic process	1.745e-05	0.000e+00	4.821e+00	1.510e-05
GO:0042133	GO:0042136	neurotransmitter biosynthetic process	9.267e-06	0.000e+00	5.330e+00	4.677e-06
GO:0042133	GO:0045454	cell redox homeostasis	1.001e-03	0.000e+00	3.028e+00	9.386e-04
GO:0042133	GO:0055076	transition metal ion homeostasis	1.003e-03	0.000e+00	3.033e+00	9.268e-04
GO:0042133	GO:0031649	heat generation	1.100e-02	0.000e+00	5.364e+00	4.322e-06
GO:0031342	GO:0031342	negative regulation of cell killing	7.184e-07	0.000e+00	5.241e+00	5.741e-06
GO:0031342	GO:0051711	negative regulation of killing of cells of another organism	1.340e-05	0.000e+00	5.585e+00	2.598e-06
GO:0031342	GO:0001915	negative regulation of T cell mediated cytotoxicity	2.717e-06	0.000e+00	6.186e+00	6.523e-07
GO:0031342	GO:0001911	negative regulation of leukocyte mediated cytotoxicity	1.788e-05	0.000e+00	5.713e+00	1.938e-06
GO:0031342	GO:0045953	negative regulation of natural killer cell mediated cytotoxicity	1.442e-03	0.000e+00	5.892e+00	1.282e-06
GO:0031342	GO:0002716	negative regulation of natural killer cell mediated immunity	1.442e-03	0.000e+00	5.833e+00	1.469e-06
GO:0015670	GO:0015670	carbon dioxide transport	7.742e-07	0.000e+00	5.812e+00	1.541e-06
GO:0015670	GO:0019755	one-carbon compound transport	6.723e-06	0.000e+00	4.411e+00	3.885e-05
GO:0015670	GO:0015669	gas transport	1.999e-03	0.000e+00	3.599e+00	2.519e-04
GO:0046130	GO:0046130	purine ribonucleoside catabolic process	8.204e-07	0.000e+00	4.595e+00	2.539e-05
GO:0046130	GO:0006152	purine nucleoside catabolic process	2.393e-06	0.000e+00	4.488e+00	3.253e-05
GO:0046130	GO:0072523	purine-containing compound catabolic process	1.030e-04	0.000e+00	3.454e+00	3.512e-04
GO:0046130	GO:0042454	ribonucleoside catabolic process	8.293e-06	0.000e+00	3.919e+00	1.206e-04
GO:0046130	GO:0009164	nucleoside catabolic process	8.740e-06	0.000e+00	3.733e+00	1.851e-04
GO:0046130	GO:1901658	glycosyl compound catabolic process	4.780e-04	0.000e+00	3.723e+00	1.894e-04
GO:0046130	GO:0046121	deoxyribonucleoside catabolic process	7.964e-05	0.000e+00	5.190e+00	6.462e-06
GO:0046130	GO:0009120	deoxyribonucleoside metabolic process	5.519e-05	0.000e+00	4.560e+00	2.756e-05
GO:0046130	GO:0046125	pyrimidine deoxyribonucleoside metabolic process	4.190e-04	0.000e+00	4.672e+00	2.128e-05
GO:0046130	GO:0046104	thymidine metabolic process	4.190e-04	0.000e+00	4.734e+00	1.844e-05
GO:0046130	GO:0046085	adenosine metabolic process	5.692e-03	0.000e+00	5.169e+00	6.782e-06
GO:0046130	GO:0009119	ribonucleoside metabolic process	6.091e-03	0.000e+00	2.310e+00	4.898e-03
GO:0046130	GO:0009116	nucleoside metabolic process	5.074e-03	0.000e+00	2.152e+00	7.042e-03
GO:0046130	GO:1901657	glycosyl compound metabolic process	2.895e-03	0.000e+00	2.142e+00	7.213e-03
GO:0042492	GO:0042492	gamma-delta T cell differentiation	8.782e-07	0.000e+00	6.092e+00	8.087e-07
GO:0042492	GO:0046629	gamma-delta T cell activation	2.750e-06	0.000e+00	5.657e+00	2.201e-06
GO:0042492	GO:0046632	alpha-beta T cell differentiation	2.406e-05	0.000e+00	5.074e+00	8.434e-06
GO:0042492	GO:0046631	alpha-beta T cell activation	1.237e-05	0.000e+00	4.943e+00	1.141e-05
GO:0042492	GO:0043367	CD4-positive, alpha-beta T cell differentiation	2.008e-04	0.000e+00	5.319e+00	4.803e-06
GO:0042492	GO:0051132	NK T cell activation	4.724e-04	0.000e+00	6.144e+00	7.171e-07
GO:0042492	GO:0097028	dendritic cell differentiation	5.973e-04	0.000e+00	5.121e+00	7.572e-06
GO:0009713	GO:0009713	catechol-containing compound biosynthetic process	9.229e-07	0.000e+00	3.924e+00	1.192e-04
GO:0009713	GO:0046189	phenol-containing compound biosynthetic process	3.780e-05	0.000e+00	3.750e+00	1.780e-04
GO:0009713	GO:0009712	catechol-containing compound metabolic process	4.730e-03	0.000e+00	3.527e+00	2.970e-04
GO:0009713	GO:0019614	catechol-containing compound catabolic process	3.667e-06	0.000e+00	3.991e+00	1.021e-04
GO:0009713	GO:0019336	phenol-containing compound catabolic process	4.589e-05	0.000e+00	3.884e+00	1.307e-04
GO:1900426	GO:1900426	positive regulation of defense response to bacterium	9.829e-07	0.000e+00	5.457e+00	3.490e-06
GO:1900426	GO:1900424	regulation of defense response to bacterium	6.525e-05	0.000e+00	5.181e+00	6.595e-06
GO:1900426	GO:0002833	positive regulation of response to biotic stimulus	2.191e-04	0.000e+00	4.309e+00	4.907e-05
GO:1900426	GO:0050729	positive regulation of inflammatory response	3.516e-03	0.000e+00	4.508e+00	3.104e-05
GO:1900426	GO:0050728	negative regulation of inflammatory response	8.941e-03	0.000e+00	4.565e+00	2.724e-05
GO:0060174	GO:0060174	limb bud formation	1.005e-06	0.000e+00	5.665e+00	2.163e-06
GO:0060174	GO:0010927	cellular component assembly involved in morphogenesis	6.848e-04	0.000e+00	4.477e+00	3.333e-05
GO:0060174	GO:0000768	syncytium formation by plasma membrane fusion	2.585e-04	0.000e+00	4.825e+00	1.495e-05
GO:0060174	GO:0007520	myoblast fusion	1.646e-03	0.000e+00	4.894e+00	1.276e-05
GO:0060174	GO:0003211	cardiac ventricle formation	7.326e-04	0.000e+00	5.647e+00	2.254e-06
GO:0060174	GO:0003207	cardiac chamber formation	5.864e-04	0.000e+00	5.526e+00	2.979e-06
GO:0060174	GO:0001946	lymphangiogenesis	1.664e-03	0.000e+00	5.136e+00	7.316e-06
GO:0060174	GO:0060592	mammary gland formation	3.840e-03	0.000e+00	6.285e+00	5.188e-07
GO:0060174	GO:0010842	retina layer formation	5.045e-03	0.000e+00	5.093e+00	8.068e-06
GO:0060174	GO:0072675	osteoclast fusion	6.551e-03	0.000e+00	5.890e+00	1.289e-06
GO:0000255	GO:0000255	allantoin metabolic process	1.028e-06	0.000e+00	3.694e+00	2.023e-04
GO:0002286	GO:0002286	T cell activation involved in immune response	1.029e-06	0.000e+00	5.059e+00	8.739e-06
GO:0002286	GO:0002292	T cell differentiation involved in immune response	1.549e-05	0.000e+00	5.329e+00	4.688e-06
GO:0002286	GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	5.890e-05	0.000e+00	6.135e+00	7.324e-07
GO:0002286	GO:0002285	lymphocyte activation involved in immune response	1.024e-04	0.000e+00	4.726e+00	1.879e-05
GO:0002286	GO:0035733	hepatic stellate cell activation	2.388e-03	0.000e+00	7.305e+00	4.959e-08
GO:0002286	GO:0042093	T-helper cell differentiation	1.203e-04	0.000e+00	5.451e+00	3.536e-06
GO:0002286	GO:0002293	alpha-beta T cell differentiation involved in immune response	1.203e-04	0.000e+00	5.406e+00	3.925e-06
GO:0002286	GO:0002287	alpha-beta T cell activation involved in immune response	1.203e-04	0.000e+00	5.404e+00	3.940e-06
GO:0002286	GO:0035710	CD4-positive, alpha-beta T cell activation	2.236e-04	0.000e+00	5.205e+00	6.233e-06
GO:0002286	GO:0045066	regulatory T cell differentiation	1.769e-05	0.000e+00	6.094e+00	8.049e-07
GO:0002286	GO:0030217	T cell differentiation	5.957e-05	0.000e+00	3.814e+00	1.534e-04
GO:0002286	GO:0048143	astrocyte activation	2.210e-05	0.000e+00	5.657e+00	2.205e-06
GO:0002286	GO:0033077	T cell differentiation in thymus	7.876e-04	0.000e+00	3.874e+00	1.336e-04
GO:0002286	GO:0030101	natural killer cell activation	1.449e-04	0.000e+00	5.162e+00	6.889e-06
GO:0002286	GO:0002323	natural killer cell activation involved in immune response	4.882e-04	0.000e+00	5.732e+00	1.854e-06
GO:0002286	GO:0043320	natural killer cell degranulation	4.882e-04	0.000e+00	6.040e+00	9.117e-07
GO:0002286	GO:0001787	natural killer cell proliferation	6.115e-03	0.000e+00	6.178e+00	6.637e-07
GO:0002286	GO:0002313	mature B cell differentiation involved in immune response	4.039e-03	0.000e+00	5.487e+00	3.258e-06
GO:0002286	GO:0002335	mature B cell differentiation	7.289e-03	0.000e+00	5.385e+00	4.124e-06
GO:0034138	GO:0034138	toll-like receptor 3 signaling pathway	1.036e-06	0.000e+00	5.299e+00	5.028e-06
GO:0034138	GO:0002224	toll-like receptor signaling pathway	4.564e-03	0.000e+00	3.973e+00	1.065e-04
GO:0034138	GO:0034162	toll-like receptor 9 signaling pathway	2.976e-04	0.000e+00	5.596e+00	2.533e-06
GO:0034138	GO:0034154	toll-like receptor 7 signaling pathway	2.356e-04	0.000e+00	5.398e+00	4.001e-06
GO:0034138	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	3.227e-03	0.000e+00	4.570e+00	2.692e-05
GO:0034138	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	1.759e-04	0.000e+00	5.981e+00	1.045e-06
GO:0034138	GO:0002756	MyD88-independent toll-like receptor signaling pathway	6.560e-03	0.000e+00	5.249e+00	5.638e-06
GO:0034138	GO:0034142	toll-like receptor 4 signaling pathway	2.294e-04	0.000e+00	5.491e+00	3.231e-06
GO:0034138	GO:0002221	pattern recognition receptor signaling pathway	5.117e-03	0.000e+00	3.950e+00	1.122e-04
GO:0034138	GO:0070431	nucleotide-binding oligomerization domain containing 2 signaling pathway	1.330e-03	0.000e+00	5.870e+00	1.350e-06
GO:0034138	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	1.196e-02	0.000e+00	5.429e+00	3.723e-06
GO:0034138	GO:0039528	cytoplasmic pattern recognition receptor signaling pathway in response to virus	1.027e-02	0.000e+00	5.795e+00	1.602e-06
GO:0099024	GO:0099024	plasma membrane invagination	1.096e-06	0.000e+00	4.836e+00	1.458e-05
GO:0099024	GO:0010324	membrane invagination	5.631e-06	0.000e+00	4.796e+00	1.599e-05
GO:0099024	GO:0006911	phagocytosis, engulfment	3.263e-06	0.000e+00	4.935e+00	1.161e-05
GO:0099024	GO:0036089	cleavage furrow formation	1.806e-04	0.000e+00	5.640e+00	2.293e-06
GO:0099024	GO:0043652	engulfment of apoptotic cell	1.356e-02	0.000e+00	5.443e+00	3.605e-06
GO:0032930	GO:0032930	positive regulation of superoxide anion generation	1.161e-06	0.000e+00	5.557e+00	2.773e-06
GO:0032930	GO:0032928	regulation of superoxide anion generation	2.180e-06	0.000e+00	5.445e+00	3.586e-06
GO:0032930	GO:0090322	regulation of superoxide metabolic process	6.100e-06	0.000e+00	5.332e+00	4.654e-06
GO:0032930	GO:2000121	regulation of removal of superoxide radicals	4.578e-03	0.000e+00	6.046e+00	9.002e-07
GO:0032930	GO:2000379	positive regulation of reactive oxygen species metabolic process	7.117e-05	0.000e+00	4.723e+00	1.892e-05
GO:0032930	GO:2000377	regulation of reactive oxygen species metabolic process	4.309e-04	0.000e+00	4.404e+00	3.945e-05
GO:0032930	GO:1904407	positive regulation of nitric oxide metabolic process	1.973e-03	0.000e+00	5.090e+00	8.125e-06
GO:0032930	GO:0045429	positive regulation of nitric oxide biosynthetic process	9.755e-03	0.000e+00	5.100e+00	7.934e-06
