cLabel,cID,cSize,cGenes,cScorePheno,pValZ,pValZCorr,pValPerm,pValPermCorr
Dev-quiescent,19,15,"BCL11A, DCX, DPYSL3, GLRA2, STMN2, SEMA3E, SYT6, FEZF2, RNF182, SRGAP1, SOX11, TUBA1A, SOX4, NEUROD6, NREP",0.0263087616904551,0.214531173594359,0.411149794968998,0.209,0.393230769230769
Adult-In3,11,17,"CALN1, CIT, CNTN4, SVEP1, TGFB2, TMEM130, SHISA8, IGFBP5, RYR3, EXPH5, SLC12A7, KMO, CRIM1, EMID1, SYT2, AHRR, SCTR",0.0180727261012627,0.22270613894154,0.411149794968998,0.213,0.393230769230769
Adult-Ex1,1,17,"HPCAL1, LAMP5, SERPINE2, CDH9, GNAL, CCDC88C, PCDH8, PDGFD, GREB1L, MDGA1, JAG1, GPR83, NECAB2, CAMK2A, DNM1, KCNK1, KCNV1",0.00853500414601945,0.389545562083644,0.667792392143389,0.389,0.666857142857143
Adult-In4,12,11,"DAAM2, EGFR, GABRB2, NMBR, SV2C, FREM1, TRPC3, KIT, MYH11, ADAMTS2, PDGFRA",-8.16516039172099e-05,0.515033907426116,0.812070327818102,0.514,0.786
Adult-In8,16,3,"CTTNBP2, TNR, NMU",-0.00370990040986858,0.541380218545401,0.812070327818102,0.524,0.786
Adult-In5,13,7,"GAL3ST1, HHIP, MTUS2, SLC2A13, PDGFD, TOX, MYB",-0.0150662094172736,0.681548112339304,0.924322519285304,0.679,0.912
Adult-In6,14,5,"NXPH1, PVALB, RPH3AL, ZNF703, LRRC38",-0.0222110417993644,0.704129787952667,0.924322519285304,0.709,0.912
Adult-Ex2,2,9,"GLIS3, PTPRK, COL5A2, ADCY8, TRHDE, CLMN, LAMA2, OVOL2, SYT10",-0.0233998840038011,0.735529660960447,0.924322519285304,0.729,0.912
Adult-OtherNeuron,22,38,"CALB2, CCK, CHGB, GABRG2, MAP7D2, MEG3, VSNL1, DLX2, SST, NRIP3, KIT, DNER, DLX1, PNOC, SLC10A4, VIP, SHISA8, PTHLH, TAC3, CPNE2, HTR2C, RELN, IGFBP5, SLC22A3, PROX1, PCDH20, ITGA8, ADCY8, TMEM132C, PIP5K1B, SPOCK3, NMU, LHX6, TAC1, CRHBP, GPR83, PVALB, LRRC38",-0.0214061968007863,0.770268766071087,0.924322519285304,0.76,0.912
Adult-In7,15,10,"CKMT1B, DPYSL5, HS6ST2, KIAA1324, NRXN3, VWDE, HPGD, DSP, PLD1, COL24A1",-0.0289120209089735,0.84502357293585,0.944796378138,0.841,0.945391304347826
Adult-Ex5,5,21,"CELF4, CPNE4, KHDRBS3, NEUROD2, SORCS2, SV2B, TLL1, IL1RAPL2, ARSJ, IFITM10, ACOT11, RNF182, ABCC9, RCSD1, ADTRP, CELF4, CPNE4, KHDRBS3, NEUROD2, SORCS2, SV2B",-0.053024937546743,0.875927163877761,0.944796378138,0.878,0.945391304347826
Adult-Ex4,4,15,"ANO3, LMO4, SCN2A, SLC17A7, TSHZ2, GABRG1, PLCXD3, COL6A1, ANXA1, TNNT2, NEUROD6, CXXC4, PLCXD2, PCDH20, PAPSS2",-0.0559184749523952,0.90542986238225,0.944796378138,0.906,0.945391304347826
Adult-Ex3,3,9,"CHN1, HR, HTR2A, PRDM8, TRIM66, NTNG1, VAV3, TRPC3, VIPR2",-0.216810018641308,0.999853137556591,0.999853137556591,1,1
